player_id,season,position_std,min,pts,reb,ast,stl,blk,tov,fg_pct,fg3_pct,ft_pct,height_m,weight_kg,BMI,body_fat_pct_est,lean_mass_kg,fat_mass_kg,injured
202714,2019,Point Guard,268.0,104.0,24.0,44.0,9.0,0.0,24.0,0.49,0.4,0.57,1.9,92.1,25.5,20.8,72.9,19.2,0
201959,2046,Small Forward,1686.0,753.0,458.0,84.0,53.0,39.0,73.0,0.57,0.32,0.76,2.06,105.2,24.8,22.3,81.7,23.5,0
77420,1978,Small Forward,2162.0,999.0,575.0,173.0,57.0,59.0,176.0,0.48,0.0,0.75,2.06,97.5,23.0,19.4,78.6,18.9,0
77149,1993,Center,461.0,64.0,117.0,17.0,10.0,59.0,19.0,0.44,0.0,0.74,2.11,93.0,20.9,17.4,76.8,16.2,0
78367,1979,Small Forward,2080.0,786.0,510.0,138.0,0.0,0.0,0.0,0.42,0.0,0.76,2.01,95.3,23.6,18.3,77.9,17.4,0
0,,,1112.0,486.0,117.0,125.0,39.0,9.0,0.0,0.42,0.0,0.71,,,,,,,0
923,1997,Small Forward,2611.0,1123.0,628.0,159.0,95.0,73.0,147.0,0.41,0.31,0.73,2.06,111.1,26.2,23.3,85.2,25.9,0
2074,2006,Center,71.0,18.0,14.0,6.0,2.0,4.0,2.0,0.29,0.0,0.5,2.11,113.4,25.5,20.6,90.0,23.4,0
76707,1984,Center,431.0,175.0,96.0,28.0,17.0,12.0,20.0,0.46,0.0,0.64,2.08,93.0,21.5,16.5,77.7,15.3,0
200782,2014,Small Forward,1910.0,506.0,350.0,109.0,62.0,19.0,67.0,0.47,0.31,0.74,1.96,111.1,28.9,27.2,80.9,30.2,0
1533,2014,Point Guard,511.0,130.0,44.0,78.0,23.0,6.0,34.0,0.35,0.2,0.7,1.9,88.5,24.5,21.3,69.6,18.9,0
78394,2003,Point Guard,617.0,219.0,49.0,117.0,26.0,3.0,55.0,0.47,0.2,0.69,1.88,81.6,23.1,17.7,67.2,14.4,0
201935,2028,Point Guard,2483.0,2335.0,446.0,512.0,125.0,60.0,308.0,0.44,0.36,0.86,1.96,99.8,26.0,22.8,77.0,22.8,0
76431,2006,Point Guard,413.0,144.0,62.0,43.0,24.0,1.0,15.0,0.38,0.29,0.74,1.93,81.6,21.9,18.1,66.8,14.8,0
1626181,2035,Point Guard,2206.0,1283.0,215.0,129.0,82.0,18.0,119.0,0.48,0.41,0.87,1.93,97.5,26.2,22.1,76.0,21.5,0
